3903,764,382
4298,1599,79
2000,613,66
1302,1113,46
2000,630,66
4832,9,116
4960,411,67
194,188,33
1348,588,59
2975,1639,126
1866,2414,47
553,1679,39
505,2053,80
2000,739,42
2000,674,32
1779,253,55
2000,2202,106
2963,1224,69
791,2469,70
2794,2380,94
697,1651,65
315,455,33
4509,736,61
1301,1518,67
1249,2872,66
1960,713,84
883,1352,43
2000,584,94
1370,669,55
3837,2308,187
4949,482,73
1469,1505,39
971,253,36
2170,918,75
2033,174,42
2158,1573,81
1605,1619,69
4583,411,49
3924,163,44
957,2872,76
2387,2394,87
2781,2052,112
