4943,2362,700
626,601,56
2000,2553,110
942,884,95
806,1507,628
1393,1043,59
3494,2258,244
1097,2548,114
4350,2343,228
2646,2717,133
4723,1144,122
4399,2125,177
2000,486,96
3473,1980,148
871,2902,52
2793,2427,105
1519,1392,143
4579,1844,137
1458,296,68
4716,1771,449
1830,1969,223
2907,2993,430
2129,1987,143
1055,2059,115
787,1849,88
3846,532,106
580,802,42
572,169,35
3464,1625,94
2000,2087,138
3434,2538,116
3196,2282,135
3311,2786,192
204,1123,35
334,1324,41
2427,2970,66
1445,1455,84
701,1848,43
3188,621,128
1437,2242,69
4938,1262,176
4397,2110,728
1470,2422,309
2442,1107,139
3112,2710,394
3326,1903,130
